Date,Ticker,MKTTREND,SMA,MACD,BOL,RSI,OBV,MYTREND1,MYTREND2,MYTREND3
2020-01-03,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,BUY,SELL,SELL,SELL
2020-01-06,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,BUY,SELL,SELL,SELL
2020-01-07,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,BUY,SELL,SELL,SELL
2020-01-08,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,BUY,SELL,SELL,SELL
2020-01-09,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,BUY,SELL,SELL,SELL
2020-01-10,ABT,NEUTRAL,BUY,SELL,BUY,HOLD,HOLD,SELL,SELL,SELL
2020-01-13,ABT,NEUTRAL,BUY,SELL,BUY,HOLD,HOLD,SELL,SELL,SELL
2020-01-14,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2020-01-15,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,BUY,SELL,SELL,SELL
2020-01-16,ABT,NEUTRAL,BUY,BUY,SELL,SELL,BUY,BUY,BUY,BUY
2020-01-17,ABT,NEUTRAL,BUY,BUY,SELL,SELL,BUY,BUY,BUY,BUY
2020-01-21,ABT,NEUTRAL,BUY,BUY,SELL,SELL,BUY,BUY,BUY,BUY
2020-01-22,ABT,NEUTRAL,BUY,BUY,SELL,SELL,BUY,BUY,BUY,BUY
2020-01-23,ABT,NEUTRAL,BUY,BUY,SELL,SELL,BUY,BUY,BUY,BUY
2020-01-24,ABT,NEUTRAL,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-01-27,ABT,NEUTRAL,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-01-28,ABT,NEUTRAL,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-01-29,ABT,NEUTRAL,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-01-30,ABT,NEUTRAL,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-01-31,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,BUY,SELL,SELL,SELL
2020-02-03,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-02-04,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-02-05,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,BUY,SELL,SELL,SELL
2020-02-06,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,BUY,SELL,SELL,SELL
2020-02-07,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2020-02-10,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2020-02-11,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,BUY,SELL,SELL,SELL
2020-02-12,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2020-02-13,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2020-02-14,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2020-02-18,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2020-02-19,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2020-02-20,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2020-02-21,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-02-24,ABT,NEUTRAL,BUY,SELL,BUY,BUY,SELL,SELL,SELL,SELL
2020-02-25,ABT,NEUTRAL,BUY,SELL,BUY,BUY,SELL,SELL,SELL,SELL
2020-02-26,ABT,NEUTRAL,BUY,SELL,BUY,BUY,SELL,SELL,SELL,SELL
2020-02-27,ABT,NEUTRAL,BUY,SELL,BUY,BUY,SELL,SELL,SELL,SELL
2020-02-28,ABT,NEUTRAL,BUY,SELL,BUY,BUY,SELL,SELL,SELL,SELL
2020-03-02,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-03-03,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-03-04,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-03-05,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-03-06,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-03-09,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-03-10,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-03-11,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-03-12,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-03-13,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-03-16,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-03-17,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-03-18,ABT,NEUTRAL,BUY,BUY,HOLD,HOLD,SELL,BUY,BUY,BUY
2020-03-19,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-03-20,ABT,NEUTRAL,BUY,SELL,BUY,HOLD,SELL,SELL,SELL,SELL
2020-03-23,ABT,NEUTRAL,SELL,SELL,BUY,BUY,SELL,SELL,SELL,SELL
2020-03-24,ABT,DOWN,SELL,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-03-25,ABT,DOWN,SELL,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-03-26,ABT,DOWN,SELL,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-03-27,ABT,DOWN,SELL,BUY,HOLD,HOLD,SELL,BUY,BUY,BUY
2020-03-30,ABT,DOWN,SELL,BUY,HOLD,HOLD,HOLD,BUY,BUY,BUY
2020-03-31,ABT,DOWN,SELL,BUY,HOLD,HOLD,HOLD,BUY,BUY,BUY
2020-04-01,ABT,DOWN,SELL,BUY,HOLD,HOLD,SELL,BUY,BUY,BUY
2020-04-02,ABT,DOWN,SELL,BUY,HOLD,HOLD,HOLD,BUY,BUY,BUY
2020-04-03,ABT,DOWN,SELL,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-04-06,ABT,DOWN,SELL,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-04-07,ABT,DOWN,SELL,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-04-08,ABT,DOWN,SELL,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-04-09,ABT,DOWN,SELL,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-04-13,ABT,DOWN,SELL,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-04-14,ABT,DOWN,SELL,BUY,HOLD,SELL,BUY,BUY,BUY,BUY
2020-04-15,ABT,DOWN,SELL,BUY,HOLD,SELL,BUY,BUY,BUY,BUY
2020-04-16,ABT,DOWN,SELL,BUY,SELL,SELL,BUY,BUY,BUY,BUY
2020-04-17,ABT,DOWN,SELL,BUY,HOLD,SELL,BUY,BUY,BUY,BUY
2020-04-20,ABT,DOWN,SELL,BUY,HOLD,SELL,BUY,BUY,BUY,BUY
2020-04-21,ABT,DOWN,SELL,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-04-22,ABT,DOWN,SELL,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-04-23,ABT,DOWN,SELL,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-04-24,ABT,DOWN,SELL,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-04-27,ABT,DOWN,SELL,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-04-28,ABT,DOWN,SELL,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-04-29,ABT,DOWN,SELL,SELL,HOLD,HOLD,BUY,SELL,SELL,SELL
2020-04-30,ABT,DOWN,SELL,SELL,HOLD,HOLD,BUY,SELL,SELL,SELL
