Date,Ticker,MKTTREND,SMA,MACD,BOL,RSI,OBV,MYTREND1,MYTREND2,MYTREND3
2020-01-03,AIG,NEUTRAL,BUY,BUY,HOLD,HOLD,SELL,BUY,BUY,BUY
2020-01-06,AIG,NEUTRAL,BUY,BUY,HOLD,HOLD,SELL,BUY,BUY,BUY
2020-01-07,AIG,NEUTRAL,BUY,BUY,HOLD,HOLD,SELL,BUY,BUY,BUY
2020-01-08,AIG,NEUTRAL,BUY,BUY,HOLD,HOLD,SELL,BUY,BUY,BUY
2020-01-09,AIG,NEUTRAL,BUY,BUY,HOLD,HOLD,HOLD,BUY,BUY,BUY
2020-01-10,AIG,NEUTRAL,SELL,BUY,HOLD,HOLD,HOLD,BUY,BUY,BUY
2020-01-13,AIG,NEUTRAL,SELL,BUY,SELL,HOLD,BUY,BUY,BUY,BUY
2020-01-14,AIG,NEUTRAL,SELL,BUY,HOLD,HOLD,HOLD,BUY,BUY,BUY
2020-01-15,AIG,NEUTRAL,SELL,BUY,HOLD,HOLD,HOLD,BUY,BUY,BUY
2020-01-16,AIG,NEUTRAL,SELL,BUY,HOLD,HOLD,HOLD,BUY,BUY,BUY
2020-01-17,AIG,NEUTRAL,SELL,BUY,SELL,HOLD,BUY,BUY,BUY,BUY
2020-01-21,AIG,NEUTRAL,SELL,BUY,HOLD,HOLD,HOLD,BUY,BUY,BUY
2020-01-22,AIG,NEUTRAL,SELL,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-01-23,AIG,NEUTRAL,SELL,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-01-24,AIG,NEUTRAL,SELL,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-01-27,AIG,NEUTRAL,SELL,SELL,BUY,HOLD,SELL,SELL,SELL,SELL
2020-01-28,AIG,NEUTRAL,SELL,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-01-29,AIG,NEUTRAL,SELL,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-01-30,AIG,NEUTRAL,SELL,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-01-31,AIG,NEUTRAL,SELL,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-02-03,AIG,NEUTRAL,SELL,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-02-04,AIG,NEUTRAL,SELL,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-02-05,AIG,NEUTRAL,SELL,BUY,HOLD,HOLD,SELL,BUY,BUY,BUY
2020-02-06,AIG,NEUTRAL,SELL,BUY,SELL,HOLD,BUY,BUY,BUY,BUY
2020-02-07,AIG,NEUTRAL,SELL,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-02-10,AIG,NEUTRAL,SELL,BUY,SELL,SELL,BUY,BUY,BUY,BUY
2020-02-11,AIG,NEUTRAL,SELL,BUY,SELL,SELL,BUY,BUY,BUY,BUY
2020-02-12,AIG,NEUTRAL,SELL,BUY,HOLD,SELL,BUY,BUY,BUY,BUY
2020-02-13,AIG,NEUTRAL,SELL,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-02-14,AIG,NEUTRAL,SELL,SELL,BUY,BUY,SELL,SELL,SELL,SELL
2020-02-18,AIG,NEUTRAL,SELL,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-02-19,AIG,NEUTRAL,SELL,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-02-20,AIG,NEUTRAL,SELL,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2020-02-21,AIG,NEUTRAL,SELL,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2020-02-24,AIG,NEUTRAL,SELL,SELL,BUY,BUY,SELL,SELL,SELL,SELL
2020-02-25,AIG,NEUTRAL,SELL,SELL,BUY,BUY,SELL,SELL,SELL,SELL
2020-02-26,AIG,NEUTRAL,SELL,SELL,BUY,BUY,SELL,SELL,SELL,SELL
2020-02-27,AIG,NEUTRAL,SELL,SELL,BUY,BUY,SELL,SELL,SELL,SELL
2020-02-28,AIG,NEUTRAL,SELL,SELL,BUY,BUY,SELL,SELL,SELL,SELL
2020-03-02,AIG,NEUTRAL,SELL,SELL,HOLD,BUY,SELL,SELL,SELL,SELL
2020-03-03,AIG,NEUTRAL,SELL,SELL,HOLD,BUY,SELL,SELL,SELL,SELL
2020-03-04,AIG,NEUTRAL,SELL,SELL,HOLD,BUY,SELL,SELL,SELL,SELL
2020-03-05,AIG,NEUTRAL,SELL,SELL,HOLD,BUY,SELL,SELL,SELL,SELL
2020-03-06,AIG,NEUTRAL,SELL,SELL,HOLD,BUY,SELL,SELL,SELL,SELL
2020-03-09,AIG,NEUTRAL,SELL,SELL,BUY,BUY,SELL,SELL,SELL,SELL
