Date,Ticker,MKTTREND,SMA,MACD,BOL,RSI,OBV,MYTREND1,MYTREND2,MYTREND3
2020-01-03,AMD,NEUTRAL,BUY,BUY,HOLD,SELL,BUY,BUY,BUY,BUY
2020-01-06,AMD,NEUTRAL,BUY,BUY,HOLD,SELL,BUY,BUY,BUY,BUY
2020-01-07,AMD,NEUTRAL,BUY,BUY,HOLD,SELL,BUY,BUY,BUY,BUY
2020-01-08,AMD,NEUTRAL,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-01-09,AMD,NEUTRAL,BUY,BUY,HOLD,SELL,BUY,BUY,BUY,BUY
2020-01-10,AMD,NEUTRAL,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-01-13,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,BUY,SELL,SELL,SELL
2020-01-14,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,BUY,SELL,SELL,SELL
2020-01-15,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,BUY,SELL,SELL,SELL
2020-01-16,AMD,NEUTRAL,BUY,SELL,HOLD,SELL,BUY,SELL,SELL,SELL
2020-01-17,AMD,NEUTRAL,BUY,SELL,HOLD,SELL,BUY,SELL,SELL,SELL
2020-01-21,AMD,NEUTRAL,BUY,BUY,HOLD,SELL,BUY,BUY,BUY,BUY
2020-01-22,AMD,NEUTRAL,BUY,BUY,HOLD,SELL,BUY,BUY,BUY,BUY
2020-01-23,AMD,NEUTRAL,BUY,BUY,HOLD,SELL,BUY,BUY,BUY,BUY
2020-01-24,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,BUY,SELL,SELL,SELL
2020-01-27,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,BUY,SELL,SELL,SELL
2020-01-28,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,BUY,SELL,SELL,SELL
2020-01-29,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,BUY,SELL,SELL,SELL
2020-01-30,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,BUY,SELL,SELL,SELL
2020-01-31,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2020-02-03,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2020-02-04,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,BUY,SELL,SELL,SELL
2020-02-05,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,BUY,SELL,SELL,SELL
2020-02-06,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,BUY,SELL,SELL,SELL
2020-02-07,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,BUY,SELL,SELL,SELL
2020-02-10,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,BUY,SELL,SELL,SELL
2020-02-11,AMD,NEUTRAL,BUY,BUY,SELL,SELL,BUY,BUY,BUY,BUY
2020-02-12,AMD,NEUTRAL,BUY,BUY,SELL,SELL,BUY,BUY,BUY,BUY
2020-02-13,AMD,NEUTRAL,BUY,BUY,SELL,SELL,BUY,BUY,BUY,BUY
2020-02-14,AMD,NEUTRAL,BUY,BUY,SELL,SELL,BUY,BUY,BUY,BUY
2020-02-18,AMD,NEUTRAL,BUY,BUY,SELL,SELL,BUY,BUY,BUY,BUY
2020-02-19,AMD,NEUTRAL,BUY,BUY,SELL,SELL,BUY,BUY,BUY,BUY
2020-02-20,AMD,NEUTRAL,BUY,BUY,HOLD,SELL,BUY,BUY,BUY,BUY
2020-02-21,AMD,NEUTRAL,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-02-24,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,BUY,SELL,SELL,SELL
2020-02-25,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2020-02-26,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-02-27,AMD,NEUTRAL,BUY,SELL,HOLD,BUY,SELL,SELL,SELL,SELL
2020-02-28,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-03-02,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-03-03,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-03-04,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-03-05,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-03-06,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-03-09,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-03-10,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-03-11,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2020-03-12,AMD,NEUTRAL,BUY,SELL,HOLD,BUY,HOLD,SELL,SELL,SELL
2020-03-13,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2020-03-16,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2020-03-17,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2020-03-18,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2020-03-19,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2020-03-20,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-03-23,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2020-03-24,AMD,DOWN,BUY,BUY,HOLD,HOLD,HOLD,BUY,BUY,BUY
2020-03-25,AMD,DOWN,BUY,BUY,HOLD,HOLD,HOLD,BUY,BUY,BUY
2020-03-26,AMD,DOWN,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-03-27,AMD,DOWN,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-03-30,AMD,DOWN,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-03-31,AMD,DOWN,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-04-01,AMD,DOWN,BUY,BUY,HOLD,HOLD,HOLD,BUY,BUY,BUY
2020-04-02,AMD,DOWN,BUY,BUY,HOLD,HOLD,HOLD,BUY,BUY,BUY
2020-04-03,AMD,DOWN,BUY,BUY,HOLD,HOLD,SELL,BUY,BUY,BUY
2020-04-06,AMD,DOWN,BUY,BUY,HOLD,HOLD,HOLD,BUY,BUY,BUY
2020-04-07,AMD,DOWN,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-04-08,AMD,DOWN,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-04-09,AMD,DOWN,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-04-13,AMD,DOWN,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-04-14,AMD,DOWN,BUY,BUY,SELL,SELL,BUY,BUY,BUY,BUY
2020-04-15,AMD,DOWN,BUY,BUY,SELL,SELL,BUY,BUY,BUY,BUY
2020-04-16,AMD,DOWN,BUY,BUY,SELL,SELL,BUY,BUY,BUY,BUY
2020-04-17,AMD,DOWN,BUY,BUY,HOLD,SELL,BUY,BUY,BUY,BUY
2020-04-20,AMD,DOWN,BUY,BUY,HOLD,SELL,BUY,BUY,BUY,BUY
2020-04-21,AMD,DOWN,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-04-22,AMD,DOWN,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-04-23,AMD,DOWN,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-04-24,AMD,DOWN,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-04-27,AMD,DOWN,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-04-28,AMD,DOWN,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-04-29,AMD,DOWN,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-04-30,AMD,DOWN,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2020-05-01,AMD,DOWN,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2020-05-04,AMD,DOWN,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2020-05-05,AMD,DOWN,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2020-05-06,AMD,DOWN,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2020-05-07,AMD,DOWN,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-05-08,AMD,DOWN,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2020-05-11,AMD,DOWN,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2020-05-12,AMD,DOWN,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2020-05-13,AMD,DOWN,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2020-05-14,AMD,DOWN,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2020-05-15,AMD,DOWN,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2020-05-18,AMD,DOWN,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2020-05-19,AMD,DOWN,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2020-05-20,AMD,DOWN,BUY,BUY,HOLD,HOLD,HOLD,BUY,BUY,BUY
2020-05-21,AMD,DOWN,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2020-05-22,AMD,DOWN,BUY,SELL,HOLD,HOLD,BUY,SELL,SELL,SELL
2020-05-26,AMD,DOWN,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2020-05-27,AMD,DOWN,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
