date,Cash,Qty,PurchasePrice,CurrentPrice,CurrentEquityTotal,PortfolioTotal,PercentageChange
2020-01-03,10000,0,0,0,0,10000,0
2020-01-06,10000,0,0,89.4000015258789,0.0,10000.0,0.0
2020-01-07,10000,0,0,88.88999938964844,0.0,10000.0,0.0
2020-01-08,10000,0,0,89.5199966430664,0.0,10000.0,0.0
2020-01-09,10000,0,0,90.20999908447266,0.0,10000.0,0.0
2020-01-10,10000,0,0,89.05999755859375,0.0,10000.0,0.0
2020-01-13,10000,0,0,88.5199966430664,0.0,10000.0,0.0
2020-01-14,10000,0,0,88.19999694824219,0.0,10000.0,0.0
2020-01-15,10000,0,0,89.26000213623047,0.0,10000.0,0.0
2020-01-16,10000,0,0,89.26000213623047,0.0,10000.0,0.0
2020-01-17,10000,0,0,88.0,0.0,10000.0,0.0
2020-01-21,10000,0,0,87.98999786376953,0.0,10000.0,0.0
2020-01-22,10000,0,0,87.20999908447266,0.0,10000.0,0.0
2020-01-23,10000,0,0,85.2699966430664,0.0,10000.0,0.0
2020-01-24,10000,0,0,83.54000091552734,0.0,10000.0,0.0
2020-01-27,10000,0,0,84.0199966430664,0.0,10000.0,0.0
2020-01-28,10000,0,0,83.7699966430664,0.0,10000.0,0.0
2020-01-29,10000,0,0,83.19999694824219,0.0,10000.0,0.0
2020-01-30,10000,0,0,81.77999877929688,0.0,10000.0,0.0
2020-01-31,10000,0,0,81.0199966430664,0.0,10000.0,0.0
2020-02-03,10000,0,0,82.30000305175781,0.0,10000.0,0.0
2020-02-04,10000,0,0,84.36000061035156,0.0,10000.0,0.0
2020-02-05,10000,0,0,86.62999725341797,0.0,10000.0,0.0
2020-02-06,10000,0,0,87.18000030517578,0.0,10000.0,0.0
2020-02-07,0.0,111.4330314023472,89.73999786376953,92.29000091552734,10284.15457014261,10284.15457014261,2.8415457014260936
2020-02-10,0.0,111.4330314023472,89.73999786376953,94.75,10558.279725372397,10558.279725372397,5.582797253723966
2020-02-11,0.0,111.4330314023472,89.73999786376953,96.0,10697.571014625331,10697.571014625331,6.975710146253314
2020-02-12,0.0,111.4330314023472,89.73999786376953,97.79000091552734,10897.03624285552,10897.03624285552,8.9703624285552
2020-02-13,0.0,111.4330314023472,89.73999786376953,95.3499984741211,10625.139374180493,10625.139374180493,6.251393741804932
2020-02-14,0.0,111.4330314023472,89.73999786376953,94.05000305175781,10480.276943457378,10480.276943457378,4.802769434573784
2020-02-18,0.0,111.4330314023472,89.73999786376953,93.61000061035156,10431.246137587046,10431.246137587046,4.312461375870462
2020-02-19,0.0,111.4330314023472,89.73999786376953,94.13999938964844,10490.30550820364,10490.30550820364,4.903055082036408
2020-02-20,0.0,111.4330314023472,89.73999786376953,94.2300033569336,10500.334923116463,10500.334923116463,5.00334923116463
2020-02-21,0.0,111.4330314023472,89.73999786376953,94.95999908447266,10581.680559946903,10581.680559946903,5.816805599469026
2020-02-24,0.0,111.4330314023472,89.73999786376953,93.13999938964844,10378.872476801293,10378.872476801293,3.788724768012926
2020-02-25,0.0,111.4330314023472,89.73999786376953,89.18000030517578,9937.597774467986,9937.597774467986,-0.624022255320142
2020-02-26,9875.19554893597,0,0,88.41000366210938,0,9875.19554893597,-1.2480445106403022
2020-02-27,9875.19554893597,0.0,0,85.41999816894531,0.0,9875.19554893597,-1.2480445106403022
2020-02-28,9875.19554893597,0.0,0,85.70999908447266,0.0,9875.19554893597,-1.2480445106403022
2020-03-02,9875.19554893597,0.0,0,88.69000244140625,0.0,9875.19554893597,-1.2480445106403022
2020-03-03,9875.19554893597,0.0,0,87.56999969482422,0.0,9875.19554893597,-1.2480445106403022
2020-03-04,9875.19554893597,0.0,0,91.75,0.0,9875.19554893597,-1.2480445106403022
2020-03-05,9875.19554893597,0.0,0,90.61000061035156,0.0,9875.19554893597,-1.2480445106403022
2020-03-06,9875.19554893597,0.0,0,88.81999969482422,0.0,9875.19554893597,-1.2480445106403022
2020-03-09,9875.19554893597,0.0,0,85.2699966430664,0.0,9875.19554893597,-1.2480445106403022
2020-03-10,9875.19554893597,0.0,0,87.52999877929688,0.0,9875.19554893597,-1.2480445106403022
2020-03-11,9875.19554893597,0.0,0,84.8499984741211,0.0,9875.19554893597,-1.2480445106403022
2020-03-12,9875.19554893597,0.0,0,78.61000061035156,0.0,9875.19554893597,-1.2480445106403022
2020-03-13,9875.19554893597,0.0,0,85.37000274658203,0.0,9875.19554893597,-1.2480445106403022
2020-03-16,9875.19554893597,0.0,0,74.2699966430664,0.0,9875.19554893597,-1.2480445106403022
2020-03-17,9875.19554893597,0.0,0,73.0199966430664,0.0,9875.19554893597,-1.2480445106403022
2020-03-18,9875.19554893597,0.0,0,71.02999877929688,0.0,9875.19554893597,-1.2480445106403022
2020-03-19,9875.19554893597,0.0,0,71.05999755859375,0.0,9875.19554893597,-1.2480445106403022
2020-03-20,9875.19554893597,0.0,0,68.81999969482422,0.0,9875.19554893597,-1.2480445106403022
2020-03-23,9875.19554893597,0.0,0,64.5,0.0,9875.19554893597,-1.2480445106403022
2020-03-24,9875.19554893597,0.0,0,67.48999786376953,0.0,9875.19554893597,-1.2480445106403022
2020-03-25,9875.19554893597,0.0,0,67.91000366210938,0.0,9875.19554893597,-1.2480445106403022
2020-03-26,9875.19554893597,0.0,0,73.83000183105469,0.0,9875.19554893597,-1.2480445106403022
2020-03-27,9875.19554893597,0.0,0,72.66999816894531,0.0,9875.19554893597,-1.2480445106403022
