Date,Ticker,Type,Qty,Price,Total
2020-01-13,ABT,BUY,116.95906432748538,85.5,10000.0
2020-01-17,ABT,SELL,116.95906432748538,88.44999694824219,10345.028882835344
2020-02-25,ABT,BUY,121.80653297613259,84.93000030517578,10345.028882835344
2020-04-17,ABT,SELL,121.8065329761326,97.44999694824219,11870.046266800084
2020-05-20,ABT,BUY,132.50776986125373,89.58000183105469,11870.046266800082
2020-07-16,ABT,SELL,132.5077698612537,97.8499984741211,12965.885078732865
2020-09-25,ABT,BUY,128.93680781145582,100.55999755859375,12965.885078732868
2020-10-01,ABT,SELL,128.93680781145582,109.18000030517578,14077.320716203138
2020-10-30,ABT,BUY,134.37686549392117,104.76000213623047,14077.320716203136
2020-11-06,ABT,SELL,134.37686549392117,113.87999725341797,15302.83707337066
2021-03-05,ABT,BUY,130.7934792595783,117.0,15302.837073370662
2021-04-14,ABT,SELL,130.7934792595783,122.55000305175781,16028.741282411343
2021-05-05,ABT,BUY,136.06740973825606,117.80000305175781,16028.741282411345
2021-06-29,ABT,SELL,136.06740973825606,115.73999786376953,15748.441712434409
2021-09-28,ABT,BUY,131.67593573040082,119.5999984741211,15748.441712434405
2021-10-22,ABT,SELL,131.67593573040082,125.51000213623047,16526.646974812753
2021-11-23,ABT,BUY,132.73348880622788,124.51000213623047,16526.646974812757
2021-12-07,ABT,SELL,132.73348880622788,134.0,17786.287500034538
2022-01-14,ABT,BUY,136.30382980531257,130.49000549316406,17786.287500034538
2022-03-21,ABT,SELL,136.30382980531255,121.93000030517578,16619.526009758385
2022-05-02,ABT,BUY,146.42754193619723,113.5,16619.526009758385
2022-08-15,ABT,SELL,146.42754193619723,111.30999755859375,16298.849335428997
2022-08-23,ABT,BUY,152.58237579098898,106.81999969482422,16298.849335428997
2022-10-19,ABT,SELL,152.58237579098898,101.0,15410.819954889887
2022-10-21,ABT,BUY,163.33672712370912,94.3499984741211,15410.81995488989
2022-12-13,ABT,SELL,163.33672712370912,112.31999969482422,18345.981140688596
2023-02-10,ABT,BUY,169.46222777275287,108.26000213623047,18345.9811406886
2023-04-04,ABT,SELL,169.46222777275287,101.9000015258789,17268.201268622357
2023-05-24,ABT,BUY,163.44724107166738,105.6500015258789,17268.201268622357
2023-06-23,ABT,SELL,163.44724107166738,108.19999694824219,17684.990985153014
2023-09-06,ABT,BUY,175.08158213185231,101.01000213623047,17684.990985153014
2023-11-16,ABT,SELL,175.08158213185231,97.72000122070312,17108.97241964724
