Date,Ticker,Type,Qty,Price,Total
2020-02-25,ABT,BUY,117.74402406767192,84.93000030517578,10000.0
2020-04-15,ABT,SELL,117.74402406767192,90.01000213623047,10598.139857859522
2020-09-25,ABT,BUY,105.39121037353104,100.55999755859375,10598.139857859522
2020-11-06,ABT,SELL,105.39121037353104,113.87999725341797,12001.95074787211
2021-03-05,ABT,BUY,102.58077562283854,117.0,12001.95074787211
2021-04-14,ABT,SELL,102.58077562283854,122.55000305175781,12571.274365630547
2021-05-05,ABT,BUY,106.71709711337702,117.80000305175781,12571.274365630548
2021-06-29,ABT,SELL,106.71709711337702,115.73999786376953,12351.436591929942
2021-09-28,ABT,BUY,103.27288252100213,119.5999984741211,12351.436591929942
2021-10-21,ABT,SELL,103.27288252100212,123.51000213623047,12755.23394078365
2022-01-14,ABT,BUY,97.7487424617501,130.49000549316406,12755.23394078365
2022-04-08,ABT,SELL,97.7487424617501,123.41999816894531,12064.149615645903
2022-05-03,ABT,BUY,106.71516399802802,113.05000305175781,12064.149615645903
2022-11-11,ABT,SELL,106.71516399802802,104.63999938964844,11166.674695619884
2023-02-15,ABT,BUY,104.59605163149692,106.76000213623047,11166.674695619884
2023-04-05,ABT,SELL,104.59605163149692,102.62999725341797,10734.692491658892
2023-05-24,ABT,BUY,101.60617450657998,105.6500015258789,10734.692491658892
2023-06-21,ABT,SELL,101.60617450657998,106.62000274658203,10833.25060496125
2023-08-09,ABT,BUY,102.6848398574526,105.5,10833.25060496125
2023-11-16,ABT,SELL,102.6848398574526,97.72000122070312,10034.362676217974
