date,Cash,Qty,PurchasePrice,CurrentPrice,CurrentEquityTotal,PortfolioTotal,PercentageChange
2020-01-03,10000,0,0,0,0,10000,0
2020-01-06,0.0,48.014595452343194,208.27000427246094,208.42999267578125,10007.681778462491,10007.681778462491,0.07681778462490911
2020-01-07,0.0,48.0145954523432,208.2700042724609,203.92999267578125,9791.616098926948,9791.616098926948,-2.0838390107305167
2020-01-08,0.0,48.0145954523432,208.2700042724609,204.3300018310547,9810.822376694636,9810.822376694636,-1.8917762330536425
2020-01-09,9866.999365456528,0,0,206.14999389648438,0,9866.999365456528,-1.330006345434722
2020-01-10,9866.999365456528,0.0,0,207.66000366210938,0.0,9866.999365456528,-1.330006345434722
2020-01-13,9866.999365456528,0.0,0,209.58999633789062,0.0,9866.999365456528,-1.330006345434722
2020-01-14,0.0,47.08661045936338,209.5500030517578,207.72999572753906,9781.30138954785,9781.30138954785,-2.186986104521493
2020-01-15,0.0,47.08661045936338,209.5500030517578,207.25999450683594,9759.170625153178,9759.170625153178,-2.4082937484682225
2020-01-16,0.0,47.08661045936338,209.5500030517578,208.97999572753906,9840.159652622055,9840.159652622055,-1.5984034737794535
2020-01-17,0.0,47.08661045936338,209.5500030517578,209.1999969482422,9850.518764401888,9850.518764401888,-1.494812355981121
2020-01-21,0.0,47.08661045936338,209.5500030517578,209.14999389648438,9848.164290181989,9848.164290181989,-1.518357098180113
2020-01-22,0.0,47.08661045936338,209.5500030517578,209.41000366210938,9860.407268731602,9860.407268731602,-1.39592731268398
2020-01-23,0.0,47.08661045936338,209.5500030517578,210.67999267578125,9920.20674670604,9920.20674670604,-0.7979325329395942
2020-01-24,0.0,47.08661045936338,209.5500030517578,208.57000732421875,9820.854688382055,9820.854688382055,-1.7914531161794547
2020-01-27,0.0,47.08661045936338,209.5500030517578,206.5500030517578,9725.739534078437,9725.739534078437,-2.742604659215631
2020-01-28,0.0,47.08661045936338,209.5500030517578,210.24000549316406,9899.489241631032,9899.489241631032,-1.0051075836896781
2020-01-29,0.0,47.08661045936338,209.5500030517578,207.9600067138672,9792.131827262458,9792.131827262458,-2.078681727375424
2020-01-30,0.0,47.08661045936338,209.5500030517578,208.3699951171875,9811.436791502458,9811.436791502458,-1.885632084975423
2020-01-31,0.0,47.08661045936338,209.5500030517578,205.2100067138672,9662.643648499208,9662.643648499208,-3.373563515007918
2020-02-03,0.0,47.08661045936338,209.5500030517578,207.8000030517578,9784.59779715264,9784.59779715264,-2.1540220284735914
2020-02-04,0.0,47.08661045936338,209.5500030517578,212.52999877929688,10007.317263449726,10007.317263449726,0.07317263449725943
2020-02-05,0.0,47.08661045936338,209.5500030517578,212.22000122070312,9992.720529164868,9992.720529164868,-0.07279470835132087
2020-02-06,0.0,47.08661045936338,209.5500030517578,214.16000366210938,10084.068668413578,10084.068668413578,0.8406866841357805
2020-02-07,0.0,47.08661045936338,209.5500030517578,211.5800018310547,9962.585127210263,9962.585127210263,-0.37414872789737275
2020-02-10,0.0,47.08661045936338,209.5500030517578,212.5500030517578,10008.259196834617,10008.259196834617,0.08259196834616886
2020-02-11,0.0,47.08661045936338,209.5500030517578,212.13999938964844,9988.95351410996,9988.95351410996,-0.1104648589003955
2020-02-12,0.0,47.08661045936338,209.5500030517578,211.99000549316406,9981.89080993492,9981.89080993492,-0.18109190065080838
2020-02-13,0.0,47.08661045936338,209.5500030517578,212.39999389648438,10001.19577417492,10001.19577417492,0.011957741749192792
2020-02-14,0.0,47.08661045936338,209.5500030517578,212.3699951171875,9999.783233339911,9999.783233339911,-0.0021676666008897884
2020-02-18,0.0,47.08661045936338,209.5500030517578,213.75999450683594,10065.233593139039,10065.233593139039,0.6523359313903893
2020-02-19,0.0,47.08661045936338,209.5500030517578,215.9199981689453,10166.940844167582,10166.940844167582,1.6694084416758233
2020-02-20,0.0,47.08661045936338,209.5500030517578,213.89999389648438,10071.825689863965,10071.825689863965,0.7182568986396473
2020-02-21,0.0,47.08661045936338,209.5500030517578,211.88999938964844,9977.18186149512,9977.18186149512,-0.22818138504879243
2020-02-24,0.0,47.08661045936338,209.5500030517578,204.36000061035156,9622.619742214885,9622.619742214885,-3.7738025778511473
2020-02-25,9642.39603238966,0,0,197.10000610351562,0,9642.39603238966,-3.5760396761033917
2020-02-26,9642.39603238966,0.0,0,195.6699981689453,0.0,9642.39603238966,-3.5760396761033917
