date,Cash,Qty,PurchasePrice,CurrentPrice,CurrentEquityTotal,PortfolioTotal,PercentageChange
2020-01-03,10000,0,0,0,0,10000,0
2020-01-06,10000,0,0,333.7099914550781,0.0,10000.0,0.0
2020-01-07,10000,0,0,333.3900146484375,0.0,10000.0,0.0
2020-01-08,10000,0,0,337.8699951171875,0.0,10000.0,0.0
2020-01-09,10000,0,0,340.45001220703125,0.0,10000.0,0.0
2020-01-10,10000,0,0,339.80999755859375,0.0,10000.0,0.0
2020-01-13,10000,0,0,345.6300048828125,0.0,10000.0,0.0
2020-01-14,10000,0,0,344.6300048828125,0.0,10000.0,0.0
2020-01-15,10000,0,0,342.94000244140625,0.0,10000.0,0.0
2020-01-16,10000,0,0,345.3800048828125,0.0,10000.0,0.0
2020-01-17,10000,0,0,349.739990234375,0.0,10000.0,0.0
2020-01-21,10000,0,0,350.0,0.0,10000.0,0.0
2020-01-22,10000,0,0,350.05999755859375,0.0,10000.0,0.0
2020-01-23,10000,0,0,351.760009765625,0.0,10000.0,0.0
2020-01-24,10000,0,0,351.3699951171875,0.0,10000.0,0.0
2020-01-27,10000,0,0,346.8999938964844,0.0,10000.0,0.0
2020-01-28,10000,0,0,354.6300048828125,0.0,10000.0,0.0
2020-01-29,10000,0,0,351.6600036621094,0.0,10000.0,0.0
2020-01-30,10000,0,0,356.739990234375,0.0,10000.0,0.0
2020-01-31,10000,0,0,351.1400146484375,0.0,10000.0,0.0
2020-02-03,10000,0,0,358.0,0.0,10000.0,0.0
2020-02-04,10000,0,0,366.739990234375,0.0,10000.0,0.0
2020-02-05,10000,0,0,365.54998779296875,0.0,10000.0,0.0
2020-02-06,10000,0,0,367.4599914550781,0.0,10000.0,0.0
2020-02-07,10000,0,0,366.0899963378906,0.0,10000.0,0.0
2020-02-10,10000,0,0,370.0,0.0,10000.0,0.0
2020-02-11,10000,0,0,369.2799987792969,0.0,10000.0,0.0
2020-02-12,10000,0,0,374.2900085449219,0.0,10000.0,0.0
2020-02-13,10000,0,0,374.8399963378906,0.0,10000.0,0.0
2020-02-14,10000,0,0,379.6700134277344,0.0,10000.0,0.0
2020-02-18,10000,0,0,378.8500061035156,0.0,10000.0,0.0
2020-02-19,10000,0,0,383.2799987792969,0.0,10000.0,0.0
2020-02-20,10000,0,0,378.9599914550781,0.0,10000.0,0.0
2020-02-21,10000,0,0,372.95001220703125,0.0,10000.0,0.0
2020-02-24,10000,0,0,357.4100036621094,0.0,10000.0,0.0
2020-02-25,10000,0,0,347.79998779296875,0.0,10000.0,0.0
2020-02-26,10000,0,0,351.3399963378906,0.0,10000.0,0.0
2020-02-27,10000,0,0,337.5199890136719,0.0,10000.0,0.0
2020-02-28,0.0,30.824238906665148,324.4200134277344,345.1199951171875,10638.061180959297,10638.061180959297,6.380611809592975
2020-03-02,0.0,30.824238906665148,324.4200134277344,360.2799987792969,11105.356755666075,11105.356755666075,11.053567556660745
2020-03-03,0.0,30.824238906665148,324.4200134277344,348.3399963378906,10737.315267866003,10737.315267866003,7.373152678660026
2020-03-04,0.0,30.824238906665148,324.4200134277344,363.8500061035156,11215.399514326338,11215.399514326338,12.153995143263382
2020-03-05,0.0,30.824238906665148,324.4200134277344,351.0299987792969,10820.232545779421,10820.232545779421,8.202325457794213
2020-03-06,0.0,30.824238906665148,324.4200134277344,336.7699890136719,10380.67859795242,10380.67859795242,3.806785979524193
2020-03-09,0.0,30.824238906665148,324.4200134277344,305.7900085449219,9425.74427865985,9425.74427865985,-5.742557213401506
2020-03-10,0.0,30.824238906665148,324.4200134277344,332.3800048828125,10245.36067830634,10245.36067830634,2.453606783063406
2020-03-11,0.0,30.824238906665148,324.4200134277344,315.2300109863281,9716.725169193258,9716.725169193258,-2.832748308067421
2020-03-12,0.0,30.824238906665148,324.4200134277344,285.0,8784.908088399567,8784.908088399567,-12.150919116004335
2020-03-13,0.0,30.824238906665148,324.4200134277344,335.5,10341.532153186157,10341.532153186157,3.415321531861573
2020-03-16,0.0,30.824238906665148,324.4200134277344,286.0299987792969,8816.657016846188,8816.657016846188,-11.833429831538124
2020-03-17,0.0,30.824238906665148,324.4200134277344,311.80999755859375,9611.30585823277,9611.30585823277,-3.886941417672297
2020-03-18,0.0,30.824238906665148,324.4200134277344,294.6099853515625,9081.128572765681,9081.128572765681,-9.188714272343185
2020-03-19,0.0,30.824238906665148,324.4200134277344,307.510009765625,9478.762007206558,9478.762007206558,-5.212379927934417
2020-03-20,0.0,30.824238906665148,324.4200134277344,295.3399963378906,9103.63060581275,9103.63060581275,-8.9636939418725
2020-03-23,0.0,30.824238906665148,324.4200134277344,307.2699890136719,9471.363550205797,9471.363550205797,-5.2863644979420314
2020-03-24,0.0,30.824238906665148,324.4200134277344,310.0,9555.514061066197,9555.514061066197,-4.444859389338035
2020-03-25,0.0,30.824238906665148,324.4200134277344,305.9100036621094,9429.44303681967,9429.44303681967,-5.705569631803301
2020-03-26,0.0,30.824238906665148,324.4200134277344,322.6700134277344,9946.057581913336,9946.057581913336,-0.5394241808666447
2020-03-27,0.0,30.824238906665148,324.4200134277344,305.8299865722656,9426.97657092571,9426.97657092571,-5.730234290742901
2020-03-30,0.0,30.824238906665148,324.4200134277344,318.3900146484375,9814.129877020054,9814.129877020054,-1.8587012297994625
2020-03-31,0.0,30.824238906665148,324.4200134277344,318.239990234375,9809.505488639159,9809.505488639159,-1.9049451136084097
2020-04-01,0.0,30.824238906665148,324.4200134277344,301.2099914550781,9284.568737685895,9284.568737685895,-7.15431262314105
2020-04-02,0.0,30.824238906665148,324.4200134277344,303.9599914550781,9369.335394679225,9369.335394679225,-6.306646053207751
2020-04-03,0.0,30.824238906665148,324.4200134277344,293.6099853515625,9050.304333859018,9050.304333859018,-9.496956661409822
2020-04-06,0.0,30.824238906665148,324.4200134277344,319.1300048828125,9836.939512793027,9836.939512793027,-1.6306048720697255
2020-04-07,0.0,30.824238906665148,324.4200134277344,308.92999267578125,9522.531899672596,9522.531899672596,-4.774681003274036
2020-04-08,0.0,30.824238906665148,324.4200134277344,317.17999267578125,9776.831870652582,9776.831870652582,-2.2316812934741757
2020-04-09,0.0,30.824238906665148,324.4200134277344,318.70001220703125,9823.68531582663,9823.68531582663,-1.7631468417337055
2020-04-13,0.0,30.824238906665148,324.4200134277344,320.6499938964844,9883.792017285956,9883.792017285956,-1.162079827140442
2020-04-14,0.0,30.824238906665148,324.4200134277344,340.7699890136719,10503.97555357908,10503.97555357908,5.039755535790792
2020-04-15,10336.600162079356,0,0,332.54998779296875,0,10336.600162079356,3.3660016207935586
2020-04-16,10336.600162079356,0.0,0,342.70001220703125,0.0,10336.600162079356,3.3660016207935586
2020-04-17,10336.600162079356,0.0,0,344.1099853515625,0.0,10336.600162079356,3.3660016207935586
2020-04-20,10336.600162079356,0.0,0,344.8800048828125,0.0,10336.600162079356,3.3660016207935586
2020-04-21,10336.600162079356,0.0,0,328.989990234375,0.0,10336.600162079356,3.3660016207935586
2020-04-22,10336.600162079356,0.0,0,336.7699890136719,0.0,10336.600162079356,3.3660016207935586
2020-04-23,10336.600162079356,0.0,0,335.3699951171875,0.0,10336.600162079356,3.3660016207935586
2020-04-24,10336.600162079356,0.0,0,344.1000061035156,0.0,10336.600162079356,3.3660016207935586
2020-04-27,10336.600162079356,0.0,0,348.5,0.0,10336.600162079356,3.3660016207935586
2020-04-28,10336.600162079356,0.0,0,333.45001220703125,0.0,10336.600162079356,3.3660016207935586
2020-04-29,10336.600162079356,0.0,0,349.1700134277344,0.0,10336.600162079356,3.3660016207935586
2020-04-30,10336.600162079356,0.0,0,353.6400146484375,0.0,10336.600162079356,3.3660016207935586
2020-05-01,10336.600162079356,0.0,0,343.8399963378906,0.0,10336.600162079356,3.3660016207935586
2020-05-04,10336.600162079356,0.0,0,349.1099853515625,0.0,10336.600162079356,3.3660016207935586
2020-05-05,10336.600162079356,0.0,0,356.1300048828125,0.0,10336.600162079356,3.3660016207935586
2020-05-06,10336.600162079356,0.0,0,362.5199890136719,0.0,10336.600162079356,3.3660016207935586
2020-05-07,10336.600162079356,0.0,0,366.7799987792969,0.0,10336.600162079356,3.3660016207935586
2020-05-08,10336.600162079356,0.0,0,367.510009765625,0.0,10336.600162079356,3.3660016207935586
