Date,Ticker,Type,Qty,Price,Total
2020-01-14,AIG,BUY,190.22256149992998,52.56999969482422,10000.0
2020-01-27,AIG,SELL,190.22256149993,50.099998474121094,9530.1500408899
2020-02-07,AIG,BUY,179.88203328111285,52.97999954223633,9530.1500408899
2020-02-18,AIG,SELL,179.88203328111285,48.11000061035156,8654.12473094562
2020-04-30,AIG,BUY,324.0031833612652,26.709999084472656,8654.12473094562
2020-08-07,AIG,SELL,324.0031833612652,29.170000076293945,9451.172883367588
2020-08-12,AIG,BUY,290.6264683373108,32.52000045776367,9451.172883367588
2020-08-14,AIG,SELL,290.6264683373108,30.3799991607666,8829.231864184065
2020-10-06,AIG,BUY,300.31401288247514,29.399999618530273,8829.231864184065
2020-12-18,AIG,SELL,300.31401288247514,38.20000076293945,11471.995521231958
2021-01-08,AIG,BUY,279.80476881053556,41.0,11471.995521231958
2021-01-28,AIG,SELL,279.8047688105356,38.060001373291016,10649.369885182361
2021-02-08,AIG,BUY,255.68714273792898,41.650001525878906,10649.36988518236
2021-04-23,AIG,SELL,255.68714273792887,46.619998931884766,11920.134321338912
2021-04-26,AIG,BUY,250.05527122307086,47.66999816894531,11920.134321338912
2021-06-21,AIG,SELL,250.0552712230709,47.2599983215332,11817.61169829286
2021-08-06,AIG,BUY,235.17635220483302,50.25,11817.61169829286
2021-09-21,AIG,SELL,235.17635220483305,53.709999084472656,12631.321661611202
2021-10-05,AIG,BUY,224.43713460522946,56.279998779296875,12631.321661611202
2021-11-15,AIG,SELL,224.43713460522943,58.38999938964844,13104.884152613791
2022-01-04,AIG,BUY,224.97655197620242,58.25,13104.884152613791
2022-03-02,AIG,SELL,224.9765519762024,58.75,13217.37242860189
2022-03-18,AIG,BUY,217.82090247409732,60.68000030517578,13217.37242860189
2022-04-25,AIG,SELL,217.82090247409727,60.0099983215332,13071.431991865424
2022-05-06,AIG,BUY,210.45615622948284,62.11000061035156,13071.431991865424
2022-05-12,AIG,SELL,210.45615622948284,58.40999984741211,12292.744053251032
2022-06-08,AIG,BUY,208.45758519223685,58.970001220703125,12292.744053251032
2022-06-09,AIG,SELL,208.45758519223685,57.7400016784668,12036.341318888892
2022-08-11,AIG,BUY,216.4031202810565,55.619998931884766,12036.341318888892
2022-08-31,AIG,SELL,216.4031202810565,52.63999938964844,11391.46011951283
2022-09-12,AIG,BUY,203.7828230512508,55.900001525878906,11391.46011951283
2022-09-22,AIG,SELL,203.7828230512508,52.59000015258789,10716.938695360072
2022-10-25,AIG,BUY,199.49624817264294,53.720001220703125,10716.938695360072
2023-01-20,AIG,SELL,199.4962481726429,61.75,12318.8933246607
2023-01-26,AIG,BUY,192.78392848976165,63.900001525878906,12318.8933246607
2023-02-03,AIG,SELL,192.78392848976165,58.9900016784668,11372.324265192463
2023-04-14,AIG,BUY,218.61445915260876,52.02000045776367,11372.324265192465
2023-08-16,AIG,SELL,218.6144591526088,58.779998779296875,12850.157642126991
2023-09-07,AIG,BUY,217.21023791870596,59.15999984741211,12850.157642126993
2023-10-04,AIG,SELL,217.210237918706,58.349998474121094,12674.217051119977
2023-10-10,AIG,BUY,207.46794924640497,61.09000015258789,12674.217051119977
2023-10-24,AIG,SELL,207.46794924640497,59.220001220703125,12286.252207628877
2023-11-02,AIG,BUY,195.11278338024601,62.970001220703125,12286.252207628875
