date,Cash,Qty,PurchasePrice,CurrentPrice,CurrentEquityTotal,PortfolioTotal,PercentageChange
2020-01-03,10000,0,0,0,0,10000,0
2020-01-06,10000,0,0,48.38999938964844,0.0,10000.0,0.0
2020-01-07,10000,0,0,48.25,0.0,10000.0,0.0
2020-01-08,10000,0,0,47.83000183105469,0.0,10000.0,0.0
2020-01-09,10000,0,0,48.970001220703125,0.0,10000.0,0.0
2020-01-10,10000,0,0,48.16999816894531,0.0,10000.0,0.0
2020-01-13,10000,0,0,48.75,0.0,10000.0,0.0
2020-01-14,10000,0,0,48.209999084472656,0.0,10000.0,0.0
2020-01-15,10000,0,0,48.54999923706055,0.0,10000.0,0.0
2020-01-16,10000,0,0,49.77000045776367,0.0,10000.0,0.0
2020-01-17,10000,0,0,50.93000030517578,0.0,10000.0,0.0
2020-01-21,10000,0,0,51.04999923706055,0.0,10000.0,0.0
2020-01-22,10000,0,0,51.43000030517578,0.0,10000.0,0.0
2020-01-23,10000,0,0,51.709999084472656,0.0,10000.0,0.0
2020-01-24,10000,0,0,50.349998474121094,0.0,10000.0,0.0
2020-01-27,10000,0,0,49.2599983215332,0.0,10000.0,0.0
2020-01-28,10000,0,0,50.529998779296875,0.0,10000.0,0.0
2020-01-29,10000,0,0,47.5099983215332,0.0,10000.0,0.0
2020-01-30,10000,0,0,48.779998779296875,0.0,10000.0,0.0
2020-01-31,10000,0,0,47.0,0.0,10000.0,0.0
2020-02-03,10000,0,0,48.02000045776367,0.0,10000.0,0.0
2020-02-04,10000,0,0,49.45000076293945,0.0,10000.0,0.0
2020-02-05,10000,0,0,49.84000015258789,0.0,10000.0,0.0
2020-02-06,10000,0,0,49.31999969482422,0.0,10000.0,0.0
2020-02-07,10000,0,0,49.72999954223633,0.0,10000.0,0.0
2020-02-10,10000,0,0,52.2599983215332,0.0,10000.0,0.0
2020-02-11,10000,0,0,53.79999923706055,0.0,10000.0,0.0
2020-02-12,10000,0,0,53.88999938964844,0.0,10000.0,0.0
2020-02-13,10000,0,0,54.529998779296875,0.0,10000.0,0.0
2020-02-14,10000,0,0,55.310001373291016,0.0,10000.0,0.0
2020-02-18,10000,0,0,56.88999938964844,0.0,10000.0,0.0
2020-02-19,10000,0,0,58.900001525878906,0.0,10000.0,0.0
2020-02-20,10000,0,0,57.27000045776367,0.0,10000.0,0.0
2020-02-21,10000,0,0,53.279998779296875,0.0,10000.0,0.0
2020-02-24,10000,0,0,49.119998931884766,0.0,10000.0,0.0
2020-02-25,10000,0,0,47.56999969482422,0.0,10000.0,0.0
2020-02-26,10000,0,0,47.4900016784668,0.0,10000.0,0.0
2020-02-27,10000,0,0,44.0099983215332,0.0,10000.0,0.0
2020-02-28,10000,0,0,45.47999954223633,0.0,10000.0,0.0
2020-03-02,10000,0,0,47.459999084472656,0.0,10000.0,0.0
2020-03-03,10000,0,0,46.75,0.0,10000.0,0.0
2020-03-04,10000,0,0,50.11000061035156,0.0,10000.0,0.0
2020-03-05,10000,0,0,48.11000061035156,0.0,10000.0,0.0
2020-03-06,10000,0,0,48.59000015258789,0.0,10000.0,0.0
2020-03-09,10000,0,0,43.27000045776367,0.0,10000.0,0.0
2020-03-10,10000,0,0,45.380001068115234,0.0,10000.0,0.0
2020-03-11,10000,0,0,45.70000076293945,0.0,10000.0,0.0
2020-03-12,10000,0,0,39.0099983215332,0.0,10000.0,0.0
2020-03-13,10000,0,0,43.900001525878906,0.0,10000.0,0.0
2020-03-16,10000,0,0,38.709999084472656,0.0,10000.0,0.0
2020-03-17,10000,0,0,41.880001068115234,0.0,10000.0,0.0
2020-03-18,10000,0,0,39.119998931884766,0.0,10000.0,0.0
2020-03-19,10000,0,0,39.81999969482422,0.0,10000.0,0.0
2020-03-20,10000,0,0,39.61000061035156,0.0,10000.0,0.0
