Date,Ticker,Type,Qty,Price,Total
2020-06-29,AMD,BUY,199.40178854909306,50.150001525878906,10000.0
2020-07-10,AMD,SELL,199.40178854909303,57.540000915527344,11473.579095672603
2020-10-28,AMD,BUY,145.7332478909662,78.7300033569336,11473.579095672605
2020-12-01,AMD,SELL,145.7332478909662,92.25,13443.892117941632
2021-01-19,AMD,BUY,150.11045650315137,89.55999755859375,13443.89211794163
2021-04-27,AMD,SELL,150.11045650315137,85.66999816894531,12859.962533764523
2021-05-14,AMD,BUY,173.73632959991687,74.0199966430664,12859.962533764525
2021-06-03,AMD,SELL,173.73632959991687,81.12999725341797,14095.227943260175
2021-09-21,AMD,BUY,137.98558720226018,102.1500015258789,14095.227943260174
2021-10-14,AMD,SELL,137.98558720226018,110.5,15247.40738584975
2021-12-14,AMD,BUY,115.80016403042596,131.6699981689453,15247.407385849752
2022-05-18,AMD,SELL,115.80016403042596,100.0,11580.016403042597
2022-06-14,AMD,BUY,132.47930348803223,87.41000366210938,11580.016403042597
2022-07-21,AMD,SELL,132.47930348803223,89.5999984741211,11870.145390380312
2022-08-29,AMD,BUY,131.81726805225912,90.05000305175781,11870.145390380312
